16 processes
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Process: 4, Iteration: 90, Error: 0.046960
Process: 3, Iteration: 90, Error: 0.043178
Process: 11, Iteration: 90, Error: 0.046960
Process: 15, Iteration: 90, Error: 0.021957
Process: 14, Iteration: 90, Error: 0.031391
Process: 13, Iteration: 90, Error: 0.038114
Process: 12, Iteration: 90, Error: 0.043178
Process: 0, Iteration: 100, Error: 0.020806
Calculation done!
Process: 1, Iteration: 100, Error: 0.029775
Calculation done!
Process: 2, Iteration: 100, Error: 0.036158
Calculation done!
Process: 4, Iteration: 100, Error: 0.044567
Calculation done!
Process: 3, Iteration: 100, Error: 0.040976
Calculation done!
Process: 5, Iteration: 100, Error: 0.047093
Calculation done!
Process: 15, Iteration: 100, Error: 0.020806
Calculation done!
Process: 6, Iteration: 100, Error: 0.048624
Calculation done!
Process: 14, Iteration: 100, Error: 0.029775
Calculation done!
Process: 13, Iteration: 100, Error: 0.036159
Calculation done!
Process: 7, Iteration: 100, Error: 0.049200
Calculation done!
Process: 8, Iteration: 100, Error: 0.049200
Calculation done!
Process: 9, Iteration: 100, Error: 0.048623
Calculation done!
Process: 11, Iteration: 100, Error: 0.044567
Calculation done!
Process: 10, Iteration: 100, Error: 0.047093
Calculation done!
Process: 12, Iteration: 100, Error: 0.040976
Calculation done!

EXECUTION TIME: 5.239799s
