4 processes
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Error: 0.513302
Error: 0.610735
Error: 0.610735
Error: 0.513319
Error: 0.513319
Error: 0.610756
Error: 0.610756
                                  0.610756
                                  0.610756
Process: 0, Iteration: 80, Error: 0.610756
                                  0.610756
Error: 0.610776
Error: 0.610776
Error: 0.513336
Error: 0.513336
Error: 0.513352
Error: 0.610795
Error: 0.513352
Error: 0.610795
Error: 0.610814
Error: 0.610814
Error: 0.513368
Error: 0.513368
Error: 0.513383
Error: 0.513383
Error: 0.610832
Error: 0.610832
Error: 0.513398
Error: 0.610850
Error: 0.610850
Error: 0.513398
Error: 0.610868
Error: 0.513413
Error: 0.513413
Error: 0.610868
Error: 0.513427
Error: 0.513427
Error: 0.610885
Error: 0.610885
Error: 0.513441
Error: 0.513441
Error: 0.610902
Error: 0.610902
Error: 0.610918
Error: 0.513455
Error: 0.513455
Error: 0.610918
Error: 0.513469
Error: 0.513469
Error: 0.610935
Error: 0.610935
Process: 0, Iteration: 90, Error: 0.610935
                                  0.610935
                                  0.610935
                                  0.610935
Error: 0.513482
Error: 0.610950
Error: 0.513482
Error: 0.610950
Error: 0.513494
Error: 0.610966
Error: 0.513494
Error: 0.610966
Error: 0.610981
Error: 0.513507
Error: 0.513507
Error: 0.610981
Error: 0.610996
Error: 0.513519
Error: 0.513519
Error: 0.610996
Error: 0.611010
Error: 0.513531
Error: 0.513531
Error: 0.611010
Error: 0.611024
Error: 0.513543
Error: 0.513543
Error: 0.611024
Error: 0.513555
Error: 0.513555
Error: 0.611038
Error: 0.611038
Error: 0.513566
Error: 0.611051
Error: 0.513566
Error: 0.611051
Error: 0.513577
Error: 0.611065
Error: 0.513577
Error: 0.611065
Error: 0.513588
Error: 0.611078
Error: 0.513588
Error: 0.611078
Process: 0, Iteration: 100, Error: 0.611078
                                  0.611078
                                  0.611078
                                  0.611078

EXECUTION TIME: 18.181098s
